feature,feat_version,cohort,system,algo,model,macro_f1_mean,macro_f1_std,qwk_mean,qwk_std,balanced_accuracy_mean,balanced_accuracy_std,log_loss_mean,log_loss_std,train_time_s_mean,train_time_s_std,peak_rss_gb_mean,peak_rss_gb_std,inference_latency_us_mean,inference_latency_us_std,model_size_mb_mean,model_size_mb_std
feat_v2,v2_biosensing,actigraphy,sklearn,lr,sklearn_lr,0.3155837943166548,0.024542240559508106,0.32193294726143856,0.0319422850011167,0.3450816570949576,0.06475767444594897,1.2823980124671557,0.1266505502421992,6.217805747594684,0.7535496712053967,0.7284156799316406,0.0009556845268882207,50.44662396539934,9.361576486115885,0.005286216735839844,0.0
feat_v2,v2_biosensing,actigraphy,sklearn,mlp,sklearn_mlp,0.28329774190012935,0.029534780803249797,0.17635581980424264,0.12255076031779909,0.3024138628020402,0.03162578255879459,1.0146257763634146,0.08094081542018843,0.13554030419909396,0.027495698465866043,0.7342697143554687,0.0011377588958326975,185.28718702145852,34.72953837016979,0.6280794143676758,8.523095729839441e-05
feat_v2,v2_biosensing,actigraphy,spark,lr,spark_lr,0.3164837368839059,0.01969139999824639,0.2993694051232021,0.03750858386077426,0.3481484126528462,0.0638655927702974,1.594923161027407,0.2199837323415201,13.878043493197765,3.0055113508298312,0.7436447143554688,0.0006420215962042305,154777.94609963894,4639.8661071526185,,
feat_v2,v2_biosensing,actigraphy,spark,mlp,spark_mlp,0.32491560465204267,0.021988088524328358,0.22906110554139594,0.06052483077233334,0.34136551437980006,0.05250597948313324,11.096204662238325,0.8892077680416994,2.326557100203354,0.07711423475931845,0.7464576721191406,0.0003173828125,154513.54830001947,2778.2625938295273,,
feat_v2,v2_biosensing,actigraphy,pytorch,lr,pytorch_lr,0.32029902249210074,0.01893648915966074,0.2460594943173211,0.046379935661829845,0.3527029417398876,0.058015207407690415,1.3014726437449962,0.08278638788724424,0.3136611266003456,0.22810818920028897,1.37874755859375,0.007102189231511808,74.67643599375151,17.53844507955253,0.004048347473144531,0.0
feat_v2,v2_biosensing,actigraphy,pytorch,mlp,pytorch_mlp,0.3341320607664507,0.03177160002317081,0.33053554940102403,0.030395650394655783,0.41544077626442155,0.09434799674877743,1.1212951091998864,0.055591521457052755,0.07397089339792728,0.017432885848225124,1.44609375,0.0019164325312061511,113.86928995489143,13.359169358156505,0.10644245147705078,0.0
