stage,feat_version,backend,tool,spark_master,local_cores,spark_driver_memory,spark_executor_memory,spark_shuffle_partitions,logical_hash_decimals,equivalence_threshold,status,wall_time_s,peak_rss_gb_process_tree,rows,cols,actigraphy_rows,raw_file_md5,logical_md5_round9,id_sets_equal,nan_positions_equal,max_abs_diff_non_nan,equivalent_to_reference,valid_cells_compared,nan_cells,consistency,error_message
W3_A6_spark_parallelism,feat_v2,spark,spark_applyInPandas,local[4],4,12g,12g,20,9,1e-06,finished,115.48276168099255,12.42086410522461,3960,147,996,df0d935d42ad561d8b532506a83e88e7,5530ecc5f44fda5247629879523c3d38,True,True,5.684341886080802e-14,True,46810,139310,max_abs_diff=5.684e-14; nan_equal=True,
W3_A6_spark_parallelism,feat_v2,spark,spark_applyInPandas,local[8],8,12g,12g,20,9,1e-06,finished,138.12298756701057,13.291191101074219,3960,147,996,0f0fc42f73bcf133da11d261ac66dbfc,5530ecc5f44fda5247629879523c3d38,True,True,1.1368683772161603e-13,True,46810,139310,max_abs_diff=1.137e-13; nan_equal=True,
W3_A6_spark_parallelism,feat_v2,spark,spark_applyInPandas,local[20],20,12g,12g,20,9,1e-06,finished,161.52691070199944,17.99608612060547,3960,147,996,e9b413ec8a706026abdaeebb3c5f488e,5530ecc5f44fda5247629879523c3d38,True,True,1.1368683772161603e-13,True,46810,139310,max_abs_diff=1.137e-13; nan_equal=True,
