feature,feat_version,cohort,system,algo,model,macro_f1_mean,macro_f1_std,qwk_mean,qwk_std,balanced_accuracy_mean,balanced_accuracy_std,log_loss_mean,log_loss_std,train_time_s_mean,train_time_s_std,peak_rss_gb_mean,peak_rss_gb_std,inference_latency_us_mean,inference_latency_us_std,model_size_mb_mean,model_size_mb_std
feat_v1,v1_tabular,all,sklearn,lr,sklearn_lr,0.3619009960262292,0.0128232534485258,0.3650594230160152,0.0184989627839532,0.4035569686206375,0.0313831391779782,1.1743311296853296,0.0391836601380395,9.00308994380175,0.5365800607465321,0.73238525390625,0.0002191987586133,37.98489397740923,1.8520021328396363,0.0038518905639648,0.0
feat_v1,v1_tabular,all,spark,lr,spark_lr,0.3626805133038702,0.0172503799778129,0.3611770852467996,0.032009687813654,0.3993243407517506,0.030925950255027,1.4625872637112427,0.1257807584201484,24.19388157158973,3.178600639597532,0.7518096923828125,0.001575013803571,161424.5426998241,4983.898902344903,,
feat_v1,v1_tabular,all,pytorch,lr,pytorch_lr,0.346541500922455,0.0146862854503915,0.3352116712450406,0.0255923752101027,0.4188226801594343,0.0360006476470648,1.1363775584833846,0.0343000122901101,0.6038588924042415,0.2764940612612143,1.4252426147460937,0.0066694116048145,70.84430902614258,28.38576916643256,0.0033159255981445,0.0
feat_v1,v1_tabular,all,sklearn,mlp,sklearn_mlp,0.3026727955477106,0.0180138369478437,0.2854474822155014,0.0534166967322224,0.3088712789335532,0.0124086719239936,0.9281217685448572,0.0153014493911688,0.3402904912072699,0.1466259013772714,0.7368476867675782,0.0014461061998271,149.1398109938018,37.29395183539456,0.4904451370239258,8.738904457566133e-05
feat_v1,v1_tabular,all,spark,mlp,spark_mlp,0.3014026365177074,0.0192390261006619,0.248308233291819,0.0328717355609633,0.3022839599123395,0.0211151498232407,11.717917273458252,0.636783474621574,4.478049371187808,0.1008738479308698,0.7520965576171875,0.0010250528096995,150002.64455913566,1811.783989947971,,
feat_v1,v1_tabular,all,pytorch,mlp,pytorch_mlp,0.3434567012674152,0.0114413441865051,0.3481238368063084,0.0244846530194874,0.4391430778230445,0.0350808548010222,1.1069138525212812,0.0435888582986624,0.1187504642060957,0.0115672747288133,1.4921913146972656,0.0025692069627701,118.64829098340124,14.79528757038719,0.0834932327270507,0.0
feat_v2,v2_biosensing,all,sklearn,lr,sklearn_lr,0.3588540034867489,0.0022726488233955,0.3433016260384203,0.0418533376760242,0.4045651794916866,0.0189305826008257,1.2021143436444033,0.0557296769302076,6.792154212994501,2.6253651901069794,0.7385215759277344,0.0003058140755257,43.401291040936485,23.28980798470587,0.0052862167358398,0.0
feat_v2,v2_biosensing,all,spark,lr,spark_lr,0.344176702639321,0.0151701494927679,0.3421145822391588,0.0524730202680914,0.3672097484868667,0.023767168305241,1.8674888285462437,0.1140621810582911,25.327513365400957,3.4132595855922943,0.7598167419433594,0.0013222878699354,156463.58887956012,4561.881106157307,,
feat_v2,v2_biosensing,all,pytorch,lr,pytorch_lr,0.3444349048163263,0.0178021076699425,0.3375953643660323,0.0344053029249674,0.3994894627149793,0.0452296430714218,1.1548443930912036,0.043395209274404,0.6265174029918853,0.2774339229416844,1.385361480712891,0.0060439355620236,72.14060498517938,10.481843557163687,0.0040483474731445,0.0
feat_v2,v2_biosensing,all,sklearn,mlp,sklearn_mlp,0.3079111217756451,0.0344456371742464,0.2800737368075383,0.0827616083783279,0.3138014466220461,0.025050095051949,0.9500582450905476,0.0343091661468526,0.3834737665951252,0.0991360301651924,0.7429290771484375,0.0010534798808075,222.70982299232853,94.34342431273409,0.6280855178833008,7.065330140863174e-05
feat_v2,v2_biosensing,all,spark,mlp,spark_mlp,0.3347227234366283,0.0208195416006452,0.2652879483431234,0.0277083183533962,0.333861374418114,0.0198348824939452,11.264370015879654,0.9011891120440612,4.192803397407988,0.2173199202646937,0.7614311218261719,0.0002915347289079,154739.6870405646,4877.9842040871445,,
feat_v2,v2_biosensing,all,pytorch,mlp,pytorch_mlp,0.3411653520909222,0.0363707993238198,0.3327755303911198,0.0471785185437822,0.4262800737406154,0.0638703664726622,1.1324624360641358,0.0764953291976331,0.1135163724073208,0.0131908433633558,1.454613494873047,0.0038009789036641,111.67349299648777,15.324336037406484,0.1064424514770507,0.0
