model_name,role,feature_version,model_type,n_samples,n_features,macro_f1_mean,macro_f1_std,qwk_mean,qwk_std,balanced_accuracy_mean,balanced_accuracy_std,log_loss_mean,log_loss_std,train_time_s_mean,train_time_s_std
baseline_logreg_v1,baseline,v1,logreg,2736,98,0.36190099602622927,0.012823253448525859,0.36505942301601524,0.01849896278395322,0.4035569686206375,0.03138313917797826,1.174381877235506,0.03912169978682266,8.695329818222671,0.6314053612778894
candidate_logreg_v1,champion,v1,logreg,2736,98,0.362383974511563,0.01337191945441742,0.36721577316187914,0.018863585798159797,0.4036037266979301,0.03154810123782023,1.1779249414711461,0.03999386616232726,9.037259690393693,0.7181749768199828
